Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-110.574,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.482,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.39,39.027,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.297,39.027,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.794,39.087,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.702,39.088,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.609,39.09,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.517,39.091,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.424,39.092,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.332,39.093,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.504679944
-112.239,39.094,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.59364519
-112.147,39.095,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.659937836
-112.054,39.096,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.734219594
-111.962,39.097,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.782201512
-111.869,39.098,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.821799177
-111.777,39.098,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.830880597
-111.684,39.099,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.809105554
-111.592,39.099,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.80222975
-111.499,39.1,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.75369305
-111.407,39.1,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.704244329
-111.314,39.1,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.63527934
-111.222,39.101,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.54863573
-111.129,39.101,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.037,39.101,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,39.101,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.851,39.101,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.759,39.101,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.666,39.1,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.574,39.1,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.481,39.1,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.389,39.099,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.204,39.098,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.703,39.16,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.611,39.162,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.518,39.163,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.426,39.164,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.333,39.165,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
