Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-112.897,39.49,Mean,***|,N/A,N/A,2.369,2.614,N/A,5.905,2.048,N/A,N/A,1033,8.005
-112.562,39.49,Mean,***|,N/A,N/A,1.907,2.112,N/A,8.893,5.154,N/A,N/A,1033,9.911
-110.213,39.49,Mean,***|,N/A,N/A,2.668,2.806,N/A,4.271,1.04,N/A,N/A,1033,7.455
-109.877,39.49,Mean,***|,N/A,N/A,3.082,2.814,N/A,2.279,1,N/A,N/A,1033,7.434
-109.542,39.49,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.206,39.49,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.871,39.49,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239,39.762,Mean,***|,N/A,N/A,3.055,2.814,N/A,2.405,1,N/A,N/A,1033,7.434
-113.904,39.762,Mean,***|,N/A,N/A,3.107,2.814,N/A,2.167,1,N/A,N/A,1033,7.434
-113.568,39.762,Mean,***|,N/A,N/A,2.981,2.814,N/A,2.741,1,N/A,N/A,1033,7.434
-113.233,39.762,Mean,***|,N/A,N/A,2.689,2.814,N/A,4.158,1,N/A,N/A,1033,7.434
-112.897,39.762,Mean,***|,N/A,N/A,2.283,2.531,N/A,6.422,2.516,N/A,N/A,1033,8.272
-112.562,39.762,Mean,***|,N/A,N/A,1.86,2.07,N/A,9.245,5.46,N/A,N/A,1033,10.115
-109.877,39.762,Mean,***|,N/A,N/A,2.96,2.814,N/A,2.836,1,N/A,N/A,1033,7.434
-109.542,39.762,Mean,***|,N/A,N/A,3.253,2.814,N/A,1.537,1,N/A,N/A,1033,7.434
-109.206,39.762,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.871,39.762,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239,40.034,Mean,***|,N/A,N/A,2.965,2.814,N/A,2.811,1,N/A,N/A,1033,7.434
-113.904,40.034,Mean,***|,N/A,N/A,3.022,2.814,N/A,2.551,1,N/A,N/A,1033,7.434
-113.568,40.034,Mean,***|,N/A,N/A,2.859,2.814,N/A,3.315,1,N/A,N/A,1033,7.434
-113.233,40.034,Mean,***|,N/A,N/A,2.511,2.775,N/A,5.1,1.204,N/A,N/A,1033,7.542
-112.897,40.034,Mean,***|,N/A,N/A,2.06,2.292,N/A,7.836,3.938,N/A,N/A,1033,9.128
-109.542,40.034,Mean,***|,N/A,N/A,3.007,2.814,N/A,2.62,1,N/A,N/A,1033,7.434
-109.206,40.034,Mean,***|,N/A,N/A,3.246,2.814,N/A,1.565,1,N/A,N/A,1033,7.434
-108.871,40.034,Mean,***|,N/A,N/A,3.343,2.814,N/A,1.158,1,N/A,N/A,1033,7.434
-114.239,40.307,Mean,***|,N/A,N/A,2.751,2.814,N/A,3.844,1,N/A,N/A,1033,7.434
