Lon,Lat,D (m)
-111.953,40.767,3.12772
-111.873,40.767,4.61855
-111.793,40.767,1.72067
-111.713,40.767,0.9516
-110.91,40.767,0.34364
-110.83,40.767,0.46975
-110.75,40.767,0.4282
-112.435,40.829,0.56793
-112.355,40.829,0.82856
-112.274,40.829,1.41954
-112.194,40.829,3.64336
-112.114,40.829,1.27235
-112.034,40.829,1.45264
-111.953,40.829,3.28288
-111.873,40.829,4.08267
-111.793,40.829,1.89805
-110.99,40.829,0.33618
-110.91,40.829,0.60029
-110.83,40.829,1.24636
-110.75,40.829,1.00398
-112.515,40.891,0.49166
-112.435,40.891,0.69122
-112.355,40.891,1.08171
-112.274,40.891,2.58155
-112.194,40.891,1.40526
-112.114,40.891,1.04725
-112.034,40.891,1.35516
-111.953,40.891,2.57346
-111.873,40.891,4.92145
-111.793,40.891,2.29478
-111.713,40.891,1.02234
-110.99,40.891,0.42035
-110.91,40.891,0.8135
-110.83,40.891,2.19928
-110.75,40.891,1.2942
-110.669,40.891,0.47674
-112.595,40.952,0.43642
-112.515,40.952,0.59076
-112.435,40.952,0.90556
-112.355,40.952,1.63311
-112.274,40.952,3.70751
-112.194,40.952,1.17524
-112.114,40.952,0.97506
-112.034,40.952,1.25926
-111.953,40.952,2.36847
-111.873,40.952,5.1937
-111.793,40.952,1.67884
-111.071,40.952,0.26429
-110.99,40.952,0.43948
-110.91,40.952,0.86713
-110.83,40.952,2.4112
-110.75,40.952,1.38183
-110.669,40.952,0.49199
-112.595,41.014,0.56355
-112.515,41.014,0.74416
-112.435,41.014,1.18364
-112.355,41.014,2.80546
-112.274,41.014,2.85579
-112.194,41.014,1.16495
-112.114,41.014,1.04818
-112.034,41.014,1.33033
-111.953,41.014,2.74184
-111.873,41.014,3.80206
-111.793,41.014,1.37818
-111.071,41.014,0.26353
-110.99,41.014,0.60954
-110.91,41.014,0.85667
-110.83,41.014,2.53636
-110.75,41.014,1.4948
-110.669,41.014,0.52102
-112.676,41.076,0.5021
-112.595,41.076,0.9529
-112.515,41.076,0.97968
-112.435,41.076,1.43312
-112.355,41.076,3.57511
-112.274,41.076,1.29779
-112.194,41.076,0.88277
-112.114,41.076,0.93751
-112.034,41.076,1.38813
-111.953,41.076,3.15073
-111.873,41.076,3.16699
-111.793,41.076,1.18508
-112.756,41.138,0.4315
-112.676,41.138,0.67239
-112.595,41.138,1.09302
-112.515,41.138,1.92915
-112.435,41.138,2.86048
-112.355,41.138,1.65749
-112.274,41.138,0.93965
-112.114,41.138,0.98511
-112.034,41.138,1.54437
-111.953,41.138,3.1116
-111.873,41.138,3.55151
-111.793,41.138,1.26617
-112.676,41.199,0.8155
-112.595,41.199,1.5574
-112.515,41.199,4.19748
-112.435,41.199,2.55412
-112.355,41.199,1.1255
-112.194,41.199,0.77023
-112.114,41.199,1.05576
-112.034,41.199,1.88175
-111.953,41.199,5.03774
-111.873,41.199,2.35915
-111.793,41.199,1.06557
-112.756,41.261,0.55985
-112.676,41.261,0.80383
-112.595,41.261,1.43809
-112.515,41.261,3.43252
-112.435,41.261,1.20112
-112.355,41.261,0.76586
-112.194,41.261,0.8147
-112.114,41.261,1.16963
-112.034,41.261,2.15813
-111.953,41.261,5.12144
-111.873,41.261,2.24291
-111.793,41.261,1.06167
-112.836,41.323,0.50841
-112.756,41.323,0.75126
-112.676,41.323,1.06394
-112.595,41.323,1.47507
-112.515,41.323,3.66701
-112.435,41.323,1.03184
-112.274,41.323,0.59738
-112.194,41.323,0.81352
-112.114,41.323,1.29552
-112.034,41.323,2.7676
-111.953,41.323,5.7031
-111.873,41.323,2.33236
-111.793,41.323,1.11194
-112.836,41.385,0.79335
-112.756,41.385,1.20042
-112.676,41.385,2.66462
-112.595,41.385,3.90496
-112.515,41.385,1.93842
-112.435,41.385,0.73653
-112.274,41.385,0.57171
-112.194,41.385,0.81937
-112.114,41.385,1.43736
-112.034,41.385,4.29713
-111.953,41.385,2.87908
-111.873,41.385,1.69034
-112.836,41.446,1.26614
-112.756,41.446,3.4177
-112.676,41.446,2.06233
-112.595,41.446,1.08012
-112.515,41.446,0.81589
-112.274,41.446,0.52437
-112.194,41.446,0.7713
-112.114,41.446,1.38152
-112.034,41.446,4.30206
