Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-112.052,38.952,Mean,***|,N/A,1033,0.002670888,0.267088775,0,0,0.002670888,0,0.882784203,2.463047204
-111.96,38.953,Mean,***|,N/A,1033,0.002451885,0.245188469,0,0,0.002451885,0,0.942868241,2.561581225
-111.867,38.953,Mean,***|,N/A,1033,0.00236001,0.236000967,0,0,0.00236001,0,0.99027732,2.627644202
-111.775,38.954,Mean,***|,N/A,1033,0.002575491,0.257549056,0,0,0.002575491,0,0.940881927,2.562012248
-111.683,38.955,Mean,***|,N/A,1033,0.002674577,0.267457654,0,0,0.002674577,0,0.91486927,2.519282927
-111.59,38.955,Mean,***|,N/A,1033,0.00293616,0.293615964,0,0,0.00293616,0,0.845657122,2.413528794
-111.498,38.956,Mean,***|,N/A,1033,0.001194328,0.119432795,0,0,0.001194328,0,0.761117073,2.288718905
-111.406,38.956,Mean,***|,N/A,1033,0.001482883,0.148288325,0,0,0.001482883,0,0.674693927,2.144954935
-111.313,38.956,Mean,***|,N/A,1033,0.001860678,0.186067817,0,0,0.001860678,0,0.560863203,1.965414193
-111.221,38.956,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.735348285
-111.129,38.957,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.562734204
-111.036,38.957,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.345332882
-110.944,38.957,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.095950207
-110.852,38.957,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.912354166
-110.759,38.956,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.784232335
-110.667,38.956,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.655821411
-110.575,38.956,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.525358012
-110.482,38.955,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.39,38.955,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.298,38.954,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.792,39.015,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.656768046
-112.7,39.016,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.828813077
-112.607,39.018,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.008927806
-112.515,39.019,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.226469338
-112.423,39.02,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.463117902
-112.33,39.021,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.69645801
-112.238,39.022,Mean,***|,N/A,1033,0.001697885,0.16978852,0,0,0.001697885,0,0.528720387,1.899668555
-112.145,39.023,Mean,***|,N/A,1033,0.001312285,0.131228482,0,0,0.001312285,0,0.66795971,2.11888575
-112.053,39.024,Mean,***|,N/A,1033,0.001074023,0.107402272,0,0,0.001074023,0,0.771101449,2.284152022
-111.961,39.025,Mean,***|,N/A,1033,0.002721792,0.272179168,0,0,0.002721792,0,0.868405593,2.438187067
-111.868,39.025,Mean,***|,N/A,1033,0.002627827,0.262782678,0,0,0.002627827,0,0.900234241,2.487858658
-111.776,39.026,Mean,***|,N/A,1033,0.002688851,0.268885135,0,0,0.002688851,0,0.875342255,2.455214034
-111.683,39.027,Mean,***|,N/A,1033,0.002712707,0.271270702,0,0,0.002712707,0,0.882399959,2.463894687
-111.591,39.027,Mean,***|,N/A,1033,0.002912202,0.291220167,0,0,0.002912202,0,0.836181686,2.394660877
-111.499,39.028,Mean,***|,N/A,1033,0.00113544,0.11354402,0,0,0.00113544,0,0.763258271,2.277056847
-111.406,39.028,Mean,***|,N/A,1033,0.001394474,0.139447426,0,0,0.001394474,0,0.678349673,2.14506766
-111.314,39.028,Mean,***|,N/A,1033,0.001754871,0.17548706,0,0,0.001754871,0,0.573516527,1.980374579
-111.221,39.028,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.818425204
-111.129,39.029,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.641364606
-111.036,39.029,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.403181209
-110.944,39.029,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.195633601
-110.852,39.029,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.986996327
-110.759,39.028,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.85317155
-110.667,39.028,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.717544872
-110.574,39.028,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.557607714
-110.482,39.028,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.39,39.027,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.297,39.027,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.794,39.087,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.586632921
-112.702,39.088,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.721036802
-112.609,39.09,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.876377365
-112.517,39.091,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.015179586
-112.424,39.092,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.282559889
-112.332,39.093,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.512043757
-112.239,39.094,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.737884586
-112.147,39.095,Mean,***|,N/A,1033,0.001630157,0.163015713,0,0,0.001630157,0,0.530780976,1.900399453
-112.054,39.096,Mean,***|,N/A,1033,0.001255411,0.125541099,0,0,0.001255411,0,0.672472334,2.120940014
-111.962,39.097,Mean,***|,N/A,1033,0.001060241,0.106024138,0,0,0.001060241,0,0.731972562,2.219898813
-111.869,39.098,Mean,***|,N/A,1033,0.002791802,0.279180231,0,0,0.002791802,0,0.824781252,2.362847326
-111.777,39.098,Mean,***|,N/A,1033,0.002695481,0.269548136,0,0,0.002695481,0,0.857971852,2.418862913
-111.684,39.099,Mean,***|,N/A,1033,0.002821928,0.282192765,0,0,0.002821928,0,0.83752373,2.384357403
-111.592,39.099,Mean,***|,N/A,1033,0.002803064,0.280306381,0,0,0.002803064,0,0.860732611,2.427398589
-111.499,39.1,Mean,***|,N/A,1033,0.001025815,0.102581489,0,0,0.001025815,0,0.812914791,2.346634379
