Long,Lat,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-112.794,39.087,0,0,0.5,1.722786794
-112.702,39.088,0.131959639,0,0.672462373,2.117704656
-112.609,39.09,0.250078331,0,0.956093611,2.554132149
-112.517,39.091,0.366480575,0,1.252439993,2.962769959
-112.424,39.092,0.426222318,0.126073555,1.799518279,3.635203691
-112.332,39.093,0.507461216,0.220315405,2.353601,4.276073681
-112.239,39.094,0.605427062,0.306037605,2.826660394,4.791820398
-112.147,39.095,0.729950435,0.407037458,3.188565906,5.162597215
-112.054,39.096,0.837332967,0.661128251,3.755348516,5.743407643
-111.962,39.097,0.992823563,0.789371523,4.004470942,5.98697183
-111.869,39.098,0.93889864,0.893075946,4.361734402,6.348673496
-111.777,39.098,0.913283492,0.839519036,4.63891197,6.63698497
-111.684,39.099,0.928884646,0.864057573,4.536451988,6.544905423
-111.592,39.099,0.904883282,0.80811059,4.877874127,6.91131233
-111.499,39.1,0.926138972,0.840330291,4.763154484,6.811926948
-111.407,39.1,0.946220726,0.867644172,4.751817113,6.801509322
-111.314,39.1,0.986625659,0.727349687,4.544465139,6.63859833
-111.222,39.101,0.871044971,0.657866685,4.06216184,6.177876253
-111.129,39.101,0.787399714,0.417525845,3.405332478,5.5981536
-111.037,39.101,0.52794674,0.38989569,2.674699192,4.861437255
-110.944,39.101,0.434061729,0.284847728,2.274778112,4.463552597
-110.851,39.101,0.34123754,0.158634822,1.857156498,3.975530455
-110.759,39.101,0.236067696,0,1.493323818,3.515023375
-110.666,39.1,0.116303453,0,1.191837966,3.076663687
-110.574,39.1,0.179089335,0,0.91901175,2.662758549
-110.481,39.1,0,0,0.741656796,2.355558027
-110.389,39.099,0,0,0.578057173,2.074054115
-110.204,39.098,0,0,0.5,1.426912041
-112.703,39.16,0.190150213,0,0.5,1.799571812
-112.611,39.162,0.112385913,0,0.738957399,2.208542775
-112.518,39.163,0.228536353,0,0.993609311,2.605238238
-112.426,39.164,0.317063088,0.191501686,1.421597799,3.168423498
-112.333,39.165,0.402899938,0.111805503,1.860329299,3.700154656
-112.24,39.166,0.506334081,0.224122038,2.280605974,4.17814527
-112.148,39.167,0.602974941,0.306135052,2.781336676,4.734804174
-112.055,39.168,0.705185456,0.568483343,3.327701488,5.28234858
-111.963,39.169,0.832427161,0.66085799,3.699167774,5.642540549
-111.87,39.17,0.976275835,0.763549653,4.081579118,6.024168734
-111.777,39.17,0.970358641,0.753500115,4.112018929,6.04441467
-111.685,39.171,0.964346163,0.738444873,4.185711138,6.132854674
-111.592,39.171,0.946555092,0.898710063,4.429380586,6.398342432
-111.5,39.172,0.923176765,0.849121431,4.739472969,6.658051676
-111.407,39.172,1.073548493,0.954600327,5.381127322,7.2528475
-111.314,39.172,1.094632184,0.985955016,5.455797839,7.381532892
-111.222,39.173,0.984699427,0.725151247,4.78023806,6.811616777
-111.129,39.173,0.747604766,0.565504271,3.616496723,5.77552577
-111.037,39.173,0.50807881,0.360222709,2.802451723,5.014482105
-110.944,39.173,0.40994257,0.255419094,2.405444754,4.633162435
-110.851,39.173,0.343070245,0.159788283,1.842281075,3.956313825
-110.759,39.173,0.215049035,0,1.596817336,3.669684347
-110.666,39.172,0.295920998,0,1.306595603,3.258213146
-110.574,39.172,0.167252544,0,0.961943512,2.738801205
-110.481,39.172,0,0,0.812529826,2.473923493
-110.388,39.171,0,0,0.602089606,2.109390426
-110.296,39.171,0,0,0.5,1.781282911
-110.203,39.17,0,0,0.5,1.476369649
-112.612,39.234,0.142676396,0,0.581949832,1.969014447
-112.52,39.235,0.28265501,0,0.809878632,2.315651849
-112.427,39.236,0.37776778,0,1.163913498,2.82375222
-112.334,39.237,0.469581854,0.160671864,1.524624297,3.26890021
-112.242,39.238,0.535894182,0.258075731,2.090761569,3.933448043
-112.149,39.239,0.627156399,0.345493797,2.558696788,4.422665909
-112.056,39.24,0.719271813,0.40191707,3.143352746,5.033977361
-111.964,39.241,0.825622987,0.657544434,3.7013263,5.555416031
-111.871,39.242,0.966126747,0.757920837,4.020893303,5.882821492
-111.778,39.242,0.983524706,0.784151428,3.96511295,5.859168624
-111.686,39.243,0.959380873,0.735709345,4.163287871,6.089611595
-111.593,39.243,0.968925205,0.743590687,4.207597957,6.128474975
-111.5,39.244,0.907946885,0.826627691,4.802466019,6.687804986
-111.407,39.244,1.01738062,1.061597115,6.096177519,7.848022199
-111.315,39.245,1.196947945,1.027448084,6.783751786,8.547145661
-111.222,39.245,0.978491362,0.720048127,4.841269196,6.800988154
-111.129,39.245,0.771959955,0.407607487,3.41486976,5.523555888
-111.037,39.245,0.525286835,0.388374853,2.663774036,4.819684292
-110.944,39.245,0.453890319,0.106011801,2.129426112,4.26659241
-110.851,39.245,0.35840923,0.173831859,1.752084449,3.828597314
-110.758,39.245,0.246497898,0,1.427924975,3.421913418
-110.666,39.244,0.115493121,0,1.165739289,3.041709896
-110.573,39.244,0.170830574,0,0.925989429,2.676695429
-110.48,39.244,0,0,0.810874744,2.475533607
-110.388,39.243,0,0,0.617002106,2.141763699
-110.295,39.243,0,0,0.5,1.830549892
-110.202,39.242,0,0,0.5,1.58244213
-112.614,39.306,0.177598633,0,0.5,1.779280706
-112.521,39.307,0.107001467,0,0.702253384,2.151990799
-112.428,39.308,0.212300838,0,0.970247952,2.551214931
-112.336,39.309,0.495778841,0.180071584,1.402191928,3.090554663
-112.243,39.31,0.55216826,0.280604835,1.952956567,3.725129468
-112.15,39.311,0.790661423,0.306181903,2.718570783,4.5305398
-112.057,39.312,0.83801157,0.68675791,3.595108122,5.345974218
-111.965,39.313,0.937540442,0.717111057,4.317036599,6.029486587
-111.872,39.314,1.070929642,0.991194347,4.856206592,6.552083398
-111.779,39.314,0.92035984,0.878315058,4.333137441,6.122466492
-111.686,39.315,0.961917798,0.746834972,4.058668201,5.917178206
-111.593,39.316,0.961089439,0.737909908,4.172433061,6.054798976
-111.501,39.316,1.087308949,0.996399164,4.963504656,6.784567606
-111.408,39.316,1.174443872,1.194031384,6.595557456,8.232082025
-111.222,39.317,0.954808229,0.885264753,5.053633135,6.988674735
-111.129,39.317,0.764593913,0.596356314,3.452182589,5.567296497
-111.037,39.317,0.538433133,0.205997465,2.548138009,4.686462007
-110.944,39.317,0.467358918,0.116073381,2.035511028,4.143224125
-110.851,39.317,0.366285067,0.182773215,1.672963711,3.714391695
-110.758,39.317,0.249463321,0,1.387847507,3.349652562
-110.665,39.317,0.109480166,0,1.185298685,3.073145721
-110.573,39.316,0.160480068,0,0.961427679,2.735976761
-110.48,39.316,0,0,0.799162114,2.451160962
-110.387,39.315,0,0,0.620022781,2.143746808
-110.294,39.315,0,0,0.5,1.846006456
-110.201,39.314,0,0,0.5,1.570303086
-112.523,39.379,0.137114395,0,0.563933847,1.940311557
-112.43,39.38,0.234147817,0,0.894645328,2.421684838
-112.337,39.381,0.31581234,0.198809597,1.28987344,2.941800546
-112.244,39.382,0.557024105,0.289474777,1.898287402,3.62684057
-112.151,39.383,0.740209191,0.443690759,2.973568774,4.687710129
-112.058,39.384,1.083703601,0.835571529,4.855828469,6.357617783
-111.966,39.385,1.20978963,1.363499984,7.164822537,8.410422751
-111.873,39.386,1.15069582,1.185549201,5.980318009,7.471830507
-111.78,39.387,0.907287122,0.863337928,4.354253199,6.047221475
-111.687,39.387,0.937010522,0.713927539,4.166874797,5.934596765
-111.594,39.388,0.977753655,0.776275393,3.963696472,5.790328198
-111.501,39.388,0.938680582,0.897691253,4.446535929,6.253839603
-111.408,39.388,1.199928834,1.046480603,6.130842851,7.776491362
-111.222,39.389,0.93209136,0.858965038,5.260561833,7.128683516
-111.13,39.389,0.768087305,0.410736755,3.359135215,5.401231746
-111.037,39.389,0.548694278,0.222774494,2.419153442,4.492281085
-110.944,39.389,0.481947722,0.130037477,1.893072556,3.938564185
-110.851,39.389,0.390444132,0,1.527788327,3.50425366
-110.758,39.389,0.267309268,0,1.266018123,3.15014312
-110.665,39.389,0.130583375,0,1.017939552,2.808966999
-110.572,39.388,0.176829235,0,0.87270344,2.569671261
-110.479,39.388,0,0,0.737712334,2.341221325
-110.386,39.388,0,0,0.582795427,2.078268483
-110.294,39.387,0,0,0.5,1.818712415
-110.201,39.386,0,0,0.5,1.568343191
-112.524,39.451,0.141444338,0,0.522483009,1.863847157
-112.431,39.452,0.250416281,0,0.804134621,2.275646537
-112.338,39.454,0.339569455,0,1.14300454,2.725697326
-112.246,39.455,0.55929973,0.296753828,1.812862375,3.499658771
-112.153,39.456,0.897347563,0.589981037,2.980310969,4.658536434
-112.06,39.456,1.178850903,1.058657841,5.933011318,7.121342423
-111.874,39.458,1.340379997,1.461138779,7.932410631,8.726036783
-111.781,39.459,1.01089802,0.903269003,4.967571755,6.434458013
-111.688,39.459,0.953308751,0.756817854,3.899709846,5.577638886
-111.595,39.46,0.816376807,0.656242744,3.553499308,5.298360092
-111.502,39.46,0.99560118,0.610307393,3.838606971,5.595861122
-111.409,39.461,0.908933297,0.850553692,4.908519026,6.579896961
-111.316,39.461,1.018066666,1.091100737,6.378723252,8.053535375
-111.223,39.461,0.908349759,0.828773721,5.53721824,7.379804526
-111.13,39.461,0.792530814,0.4531911,3.166710126,5.141233631
-111.037,39.461,0.557054231,0.234114463,2.334416682,4.37739882
-110.944,39.461,0.487767249,0.135962675,1.838861828,3.85368928
-110.851,39.461,0.385859923,0,1.495223281,3.455842051
-110.758,39.461,0.270389787,0,1.210460432,3.069920752
-110.665,39.461,0.135999819,0,0.963070919,2.710657269
-110.572,39.46,0.193956921,0,0.786162716,2.409670871
-110.479,39.46,0,0,0.700013719,2.271435156
-110.386,39.46,0,0,0.549025143,2.016235391
